encoder_value,roll_value,gyro_value,pid
0,-1.917,2.744,50.714
-1,-1.93,2.536,76.119
-2,-1.941,2.253,94.814
-2,-1.954,2.417,79.043
-4,-1.967,2.665,114.747
-5,-1.98,2.742,114.764
-7,-1.996,3.068,138.985
-7,-2.013,3.546,105.159
-9,-2.032,3.871,137.771
-10,-2.053,4.184,130.075
-11,-2.075,4.545,129.713
-12,-2.1,4.85,130.36
-13,-2.125,5.052,133.554
-13,-2.152,5.223,114.865
-15,-2.18,5.297,152.422
-14,-2.206,5.169,110.37
-16,-2.234,5.054,161.909
-16,-2.26,4.922,142.556
-16,-2.285,4.719,143.171
-18,-2.31,4.579,186.992
-18,-2.332,4.474,167.607
-19,-2.356,4.569,182.915
-20,-2.381,4.749,186.943
-21,-2.406,4.866,192.675
-22,-2.434,5.224,191.421
-22,-2.462,5.564,168.017
-24,-2.492,5.664,204.546
-24,-2.523,5.807,177.014
-25,-2.553,5.862,192.169
-25,-2.584,5.769,179.85
-26,-2.615,5.732,197.358
-26,-2.645,5.682,184.018
-27,-2.676,5.55,204.188
-27,-2.705,5.37,194.395
-28,-2.734,5.167,216.902
-28,-2.761,5.08,205.134
-29,-2.789,5.158,220.253
-29,-2.817,5.296,202.344
-30,-2.846,5.466,214.825
-30,-2.876,5.668,194.966
-31,-2.907,5.868,206.159
-30,-2.939,6.019,164.623
-31,-2.972,6.021,189.707
-31,-3.005,5.886,178.185
-31,-3.037,5.712,176.663
-30,-3.068,5.379,157.219
-31,-3.096,4.826,198.068
-30,-3.121,4.407,173.056
-31,-3.146,4.252,203.984
-30,-3.169,4.099,172.384
-30,-3.192,4.01,179.338
-31,-3.216,4.113,194.661
-30,-3.239,4.255,155.095
-30,-3.265,4.34,156.994
-30,-3.29,4.302,153.332
-30,-3.315,4.21,151.084
-29,-3.34,4.016,129.119
-29,-3.361,3.456,148.919
-28,-3.38,2.922,137.168
-28,-3.398,2.715,148.258
-27,-3.414,2.41,131.045
-27,-3.429,2.07,146.326
-27,-3.442,1.947,147.127
-27,-3.455,1.852,147.436
-26,-3.468,1.766,124.899
-26,-3.48,1.656,134.545
-25,-3.491,1.469,115.194
-25,-3.502,1.319,126.227
-25,-3.511,1.098,130.535
