encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
353,-0.454,-1.82,122.197,747.6
354,-0.45,-1.047,125.07,734.1
355,-0.446,-0.367,99.089,721.7
356,-0.442,0.21,107.194,706.4
357,-0.445,1.081,74.55,681.4
358,-0.451,1.694,102.117,663.8
359,-0.459,1.924,54.251,649.3
360,-0.472,2.393,70.763,628.3
361,-0.486,2.704,28.456,610.5
362,-0.5,2.554,61.253,602.6
363,-0.515,2.509,28.103,591.0
364,-0.53,2.332,38.908,585.3
365,-0.54,1.724,30.554,590.1
366,-0.55,1.254,50.115,593.0
367,-0.558,0.796,38.373,599.5
368,-0.56,-0.002,68.103,614.6
369,-0.56,-0.594,38.963,625.5
370,-0.559,-0.891,64.927,633.8
371,-0.554,-1.408,79.775,649.7
372,-0.546,-1.986,119.205,668.6
373,-0.538,-2.213,117.971,682.3
374,-0.527,-2.329,123.286,695.8
375,-0.515,-2.522,108.401,711.4
376,-0.503,-2.443,162.601,720.2
377,-0.491,-2.116,138.486,723.3
378,-0.482,-1.796,132.012,724.4
379,-0.473,-1.223,163.478,716.1
380,-0.47,-0.37,123.831,699.2
381,-0.471,0.376,148.832,682.3
382,-0.475,1.149,109.86,659.4
383,-0.485,2.068,106.054,633.7
384,-0.499,2.785,75.502,607.1
385,-0.514,3.246,60.435,584.3
386,-0.533,3.604,69.723,561.1
387,-0.554,3.778,29.732,542.0
388,-0.573,3.603,39.66,530.6
389,-0.592,3.241,45.656,524.4
390,-0.61,2.818,30.908,521.3
391,-0.623,2.064,34.885,529.2
392,-0.632,1.192,42.821,541.9
393,-0.639,0.498,68.892,554.6
394,-0.641,-0.328,45.665,571.8
395,-0.636,-1.196,87.459,593.7
396,-0.632,-1.661,100.798,609.3
397,-0.625,-1.963,132.774,626.4
398,-0.613,-2.439,116.3,648.8
399,-0.602,-2.657,155.871,666.5
400,-0.59,-2.498,145.161,676.8
401,-0.578,-2.328,165.636,686.9
402,-0.568,-1.916,147.933,688.0
403,-0.561,-1.135,173.515,679.0
404,-0.558,-0.375,136.307,665.6
405,-0.558,0.388,138.601,647.8
406,-0.564,1.312,126.691,622.7
407,-0.574,2.138,116.425,600.1
408,-0.588,2.761,88.457,575.6
409,-0.604,3.289,71.27,552.3
410,-0.624,3.627,81.122,530.7
411,-0.644,3.663,44.937,515.9
412,-0.663,3.455,55.64,506.4
413,-0.681,3.105,39.014,501.6
414,-0.698,2.621,57.636,501.7
415,-0.711,1.938,50.765,509.2
416,-0.721,1.135,79.285,522.2
417,-0.726,0.306,77.93,539.6
418,-0.726,-0.528,64.078,557.4
419,-0.723,-1.262,79.702,578.2
420,-0.717,-1.775,148.516,597.5
421,-0.709,-2.159,120.009,617.8
422,-0.698,-2.562,141.815,640.7
423,-0.685,-2.791,173.229,660.9
424,-0.672,-2.685,163.997,674.1
425,-0.661,-2.479,183.382,685.6
426,-0.647,-2.162,168.88,691.4
427,-0.64,-1.438,196.241,685.4
428,-0.637,-0.518,154.805,671.4
429,-0.634,0.235,157.894,654.2
430,-0.638,1.125,147.207,630.9
431,-0.649,2.312,149.701,599.6
432,-0.664,3.213,105.196,569.7
433,-0.683,3.796,86.155,542.8
434,-0.707,4.458,64.149,510.8
435,-0.732,4.763,73.689,489.4
436,-0.757,4.546,43.255,478.6
437,-0.782,4.246,32.957,470.1
438,-0.804,3.688,52.483,470.2
439,-0.821,2.801,27.741,478.8
440,-0.836,1.898,66.802,490.2
441,-0.844,0.889,69.567,509.8
442,-0.848,-0.228,40.181,535.5
443,-0.846,-1.14,91.572,558.2
444,-0.84,-1.91,135.8,585.9
445,-0.83,-2.74,128.499,617.7
446,-0.816,-3.392,157.741,650.8
447,-0.798,-3.661,168.471,678.0
448,-0.782,-3.661,194.305,702.3
449,-0.764,-3.524,185.393,722.8
450,-0.746,-3.213,225.772,737.7
451,-0.733,-2.491,191.4,740.2
452,-0.724,-1.492,189.413,732.8
453,-0.718,-0.501,178.088,717.2
454,-0.72,0.663,182.906,689.4
455,-0.728,1.831,155.235,659.3
456,-0.738,2.708,121.129,632.2
457,-0.757,3.677,114.398,596.0
458,-0.781,4.563,77.481,560.1
459,-0.805,4.761,67.665,538.5
460,-0.831,4.709,41.663,521.3
461,-0.858,4.607,70.612,506.6
462,-0.88,3.938,30.182,507.8
463,-0.9,3.05,45.409,513.2
464,-0.916,2.304,48.574,519.6
465,-0.927,1.236,83.803,538.8
466,-0.932,-0.038,71.956,566.1
467,-0.931,-1.037,71.586,589.7
468,-0.926,-1.892,135.808,619.6
469,-0.916,-2.676,127.28,649.9
470,-0.903,-3.276,177.322,681.7
471,-0.886,-3.656,159.493,710.8
472,-0.868,-3.689,195.345,734.3
473,-0.851,-3.426,182.962,752.1
474,-0.836,-2.997,197.35,763.7
