Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree
213,-0.012002001,-0.003597234,-0.000596254,-0.026155249,-0.687664003,-0.206106326,-0.034162838,-1.49858538
214,-0.011972965,-0.003523392,-0.000573813,-0.025982756,-0.686000363,-0.201875491,-0.032877063,-1.488702259
215,-0.011944434,-0.00345079,-0.00055209,-0.025811039,-0.684365657,-0.197715703,-0.031632427,-1.4788636
216,-0.011915833,-0.0033795,-0.000531095,-0.025640091,-0.68272694,-0.193631087,-0.030429502,-1.469069001
217,-0.011886975,-0.003309439,-0.000510784,-0.02547018,-0.681073499,-0.189616887,-0.029265767,-1.459333817
218,-0.011858089,-0.00324057,-0.00049115,-0.02530108,-0.679418453,-0.185670984,-0.028140822,-1.449645101
219,-0.011829392,-0.003174325,-0.000472164,-0.025132748,-0.677774236,-0.181875425,-0.027053004,-1.440000388
220,-0.011800846,-0.003109451,-0.000453817,-0.024965158,-0.67613867,-0.178158419,-0.026001799,-1.430398188
221,-0.011772336,-0.003045699,-0.00043608,-0.024798321,-0.674505168,-0.174505698,-0.024985544,-1.420839132
222,-0.011743826,-0.002982999,-0.000418954,-0.024632224,-0.672871665,-0.170913253,-0.024004296,-1.411322475
223,-0.011715827,-0.002921321,-0.000402411,-0.024466857,-0.671267441,-0.167379364,-0.023056452,-1.401847644
224,-0.011687753,-0.00286065,-0.000386457,-0.024302232,-0.669658919,-0.163903172,-0.022142355,-1.392415326
225,-0.011659412,-0.002800971,-0.000371052,-0.024138607,-0.668035099,-0.160483817,-0.021259714,-1.383040304
226,-0.011631059,-0.002742269,-0.000356195,-0.02397576,-0.666410592,-0.15712044,-0.02040847,-1.373709859
227,-0.01160289,-0.002684604,-0.000341858,-0.023813665,-0.664796627,-0.153816479,-0.019587021,-1.364422499
228,-0.011574868,-0.002627905,-0.000328034,-0.023652302,-0.663191085,-0.150567865,-0.018794964,-1.35517708
